group,file,std_mv,ptp_mv,icd_fixed_608k,peak_128_hz,peak_128_amp_mv,peak_608_hz,peak_608_amp_mv,band_1_20k,band_45_65k,band_120_136k,band_1_30_1_43m,band_1_0_3_3m
10 补测一组功放打开的，用做备用,capture_20260703_150159_629.csv,0.3506453660471323,2.9296870000000004,3.2155843376411005e-05,128000.0,0.10267624407050045,574000.0,0.00978051506234752,3.0433472551472756e-05,1.4103589810456951e-05,0.001929690757761972,1.1833073578311245e-05,1.0910936493076111e-05
10 补测一组功放打开的，用做备用,capture_20260703_150159_834.csv,0.3513977700321128,3.90625,3.407524105465461e-05,128000.0,0.10111865454509852,616000.0,0.011758271756853194,1.7802991180422078e-05,1.681208719687802e-05,0.0018993040103973413,1.0501891268883567e-05,1.1565809642007938e-05
10 补测一组功放打开的，用做备用,capture_20260703_150200_035.csv,0.3509226346048931,2.9296870000000004,3.230165383473839e-05,128000.0,0.10340393566293056,616000.0,0.011398996721177446,2.5572287524401733e-05,1.856401007368963e-05,0.0019106610008635923,9.230205693173226e-06,1.0618213002222025e-05
10 补测一组功放打开的，用做备用,capture_20260703_150200_246.csv,0.3504303320027102,2.9296870000000004,3.374188670944072e-05,128000.0,0.10602491749493567,616000.0,0.009481153775079219,3.733264812382199e-05,2.054699365209385e-05,0.0019123194171321678,1.4162021224456928e-05,1.1139965318552953e-05
10 补测一组功放打开的，用做备用,capture_20260703_150200_436.csv,0.3514527230199526,2.441406,3.2017729600223656e-05,128000.0,0.10344327834284286,616000.0,0.014117270179822103,1.4834100467825923e-05,2.1386438416985368e-05,0.002157393089090702,1.1627299834926073e-05,1.1144746905096894e-05
10 补测一组功放打开的，用做备用,capture_20260703_150200_645.csv,0.35319835849452336,2.929687,3.72663429403184e-05,128000.0,0.10572094082287237,616000.0,0.011286704879208064,2.695095797980863e-05,2.690846738235152e-05,0.0020791508947666485,1.1909780158123415e-05,1.1710160300805283e-05
10 补测一组功放打开的，用做备用,capture_20260703_150200_842.csv,0.3488563969711473,2.9296870000000004,3.332738927954813e-05,128000.0,0.10283608697624932,616000.0,0.01162416445640493,2.7281201076692655e-05,1.3220172430861683e-05,0.0020009827023431586,9.199347552026282e-06,1.0777821063557735e-05
10 补测一组功放打开的，用做备用,capture_20260703_150201_033.csv,0.34694027818949547,2.9296870000000004,3.285669491735278e-05,128000.0,0.10357440278153943,552000.0,0.00999887932939899,1.3746694156369962e-05,1.5382882060386204e-05,0.001965238127389321,8.914428924995414e-06,1.1174172155364662e-05
10 补测一组功放打开的，用做备用,capture_20260703_150201_244.csv,0.3512202402397362,3.417968,3.369627525167412e-05,128000.0,0.10796792051146813,616000.0,0.014408438808255831,2.5994486858135094e-05,1.9443713984158742e-05,0.0020590648940886965,1.2123041908259067e-05,1.1717994172409916e-05
10 补测一组功放打开的，用做备用,capture_20260703_150201_436.csv,0.3488187494098725,2.441406,3.2132272868236e-05,128000.0,0.10301643962107505,616000.0,0.011791726578991727,2.706059038474057e-05,1.5333543564975715e-05,0.0019456887221797345,1.092433156943936e-05,1.1215949211587314e-05
10 补测一组功放打开的，用做备用,capture_20260703_150201_643.csv,0.34917915084687684,2.929687,3.2470816384011614e-05,128000.0,0.09713093055321846,616000.0,0.015324496164280709,1.3011111291814343e-05,2.3080141665383613e-05,0.0018473923632137705,1.3273118529995751e-05,1.112651918383227e-05
10 补测一组功放打开的，用做备用,capture_20260703_150201_829.csv,0.3504949571032658,2.9296870000000004,3.222537462026626e-05,128000.0,0.1039610504393255,616000.0,0.01609372720970934,1.6861323318060235e-05,1.447995489545943e-05,0.0020919910909003884,1.08441509180764e-05,1.1144848365024363e-05
10 补测一组功放打开的，用做备用,capture_20260703_150202_034.csv,0.34849970541731967,3.4179690000000003,3.1236323848268234e-05,128000.0,0.10564578625028735,562000.0,0.008869494348172795,3.100922318130359e-05,2.013835951606394e-05,0.0019534714395227594,1.2051090748071782e-05,1.0943421116003915e-05
10 补测一组功放打开的，用做备用,capture_20260703_150202_235.csv,0.35173265068976967,3.417968,3.076345506506022e-05,128000.0,0.10429783720365049,616000.0,0.012337661052744383,2.9835682219745822e-05,2.350463215912316e-05,0.002021689378908999,1.0438672543677835e-05,1.147815902441245e-05
10 补测一组功放打开的，用做备用,capture_20260703_150202_443.csv,0.3510969759432242,3.4179690000000003,3.4493605768253786e-05,128000.0,0.10694654825019656,616000.0,0.010244016343952179,3.9591785459661316e-05,2.651539920567175e-05,0.0020292740372464153,9.400859961903937e-06,1.1683607559026851e-05
10 补测一组功放打开的，用做备用,capture_20260703_150202_633.csv,0.3542551862482125,3.90625,3.350718572245912e-05,128000.0,0.10736858930773296,634000.0,0.009792160327840473,4.524025530766643e-05,3.077329348376185e-05,0.0020011327157831026,1.1483952898155794e-05,1.1345996173472492e-05
